date,window,signal,ratio,moving_average,slope,state
2015-06-09,20,Risk Off,0.3028296054136,0.310002232387882,-1.0244653579738472e-05,Risk Off
2015-08-12,20,Risk On,0.294382882588523,0.2879840876702233,-0.00014631664516023823,Risk On
2015-09-09,60,Risk On,0.3048758469301454,0.29645693689769714,4.543320618860536e-05,Risk On
2015-09-30,120,Risk On,0.3106631185129177,0.3037997989293275,-0.00020795852186894503,Risk On
2015-12-07,240,Risk On,0.3280508374847997,0.3184937033400019,-3.6109271459139336e-05,Risk On
2016-03-07,20,Risk Off,0.3541845660162518,0.36176381577722283,-0.0006232929863965175,Risk Off
2016-04-29,60,Risk Off,0.3511539366457767,0.3624678576313737,-0.0001959593219266753,Risk Off
2016-06-27,60,Risk On,0.3698007803584431,0.36004607077939443,8.794829537878135e-05,Risk On
2016-06-28,20,Risk On,0.3713268321193164,0.36373867474734783,0.0006881656005813253,Risk On
2016-11-10,20,Risk Off,0.3696584385477917,0.3794319495368304,-0.000583436871927745,Risk Off
2016-11-11,60,Risk Off,0.3579430542887735,0.3751294829038466,-0.00026033222488097696,Risk Off
2016-11-11,120,Risk Off,0.3579430542887735,0.37239412985763576,3.816231896985878e-05,Risk Off
2016-11-14,240,Risk Off,0.3482422537943073,0.3614197594410519,0.00013760316233929482,Risk Off
2017-01-24,20,Risk On,0.3535300120604879,0.3465714475152931,0.0006258438723541482,Risk On
2017-02-03,60,Risk On,0.3567343276886845,0.3492218792364821,-0.00034040314169081487,Risk On
2017-04-05,120,Risk On,0.3649199509044158,0.3565645743541227,-0.00011195262581187304,Risk On
2017-04-21,240,Risk On,0.3697138469224435,0.36218152295022227,4.989662585180854e-05,Risk On
2017-07-04,20,Risk Off,0.3793872159664381,0.38769700714097605,-0.0005190602161314062,Risk Off
2017-10-12,20,Risk On,0.4047700619317433,0.39507710490110404,0.0004174761759433432,Risk On
2017-11-21,20,Risk Off,0.3929262743233606,0.40590485920766034,-0.000698556266004402,Risk Off
2017-11-22,60,Risk Off,0.3902777660908272,0.4000693614400364,-3.898194483703543e-05,Risk Off
2017-11-30,120,Risk Off,0.3859988812873801,0.394419933054352,2.345538577297468e-05,Risk Off
2017-12-06,240,Risk Off,0.3682559332524993,0.37787814683024856,0.00011115892961471863,Risk Off
2018-01-22,20,Risk On,0.3791285284516418,0.36793852214694917,0.0005082910628859127,Risk On
2018-02-09,20,Risk Off,0.3662455579548739,0.37417647248073715,0.00016871913978705466,Risk Off
2018-03-09,60,Risk On,0.3790092289864669,0.37087927210056953,0.0001305281544118353,Risk On
2018-03-13,20,Risk On,0.3801743978735129,0.3715816323152864,-2.7982927686631687e-05,Risk On
2018-04-12,20,Risk Off,0.3673267326732673,0.3750613174666141,-0.0006423832600122581,Risk Off
2018-04-20,60,Risk Off,0.3580905306971905,0.37319965691954143,-6.364660408481049e-05,Risk Off
2018-06-04,20,Risk On,0.3593793011238959,0.3523279235795744,0.0005020487926918338,Risk On
2018-06-25,20,Risk Off,0.3453129065577519,0.3557371119589179,-0.00037236735244527974,Risk Off
