date,xlk_adj_close,xlf_adj_close,spy_adj_close,xlk_normalized,xlf_normalized,spy_normalized,us_ratio,ma20,slope20,ma20_slope,state20,bull_turn20,bear_turn20,cross_on20,cross_off20,ma60,slope60,ma60_slope,state60,bull_turn60,bear_turn60,cross_on60,cross_off60,ma120,slope120,ma120_slope,state120,bull_turn120,bear_turn120,cross_on120,cross_off120,ma240,slope240,ma240_slope,state240,bull_turn240,bear_turn240,cross_on240,cross_off240
1999-01-28,13.848472595214844,11.139396667480469,78.53885650634766,116.2847904204468,100.13406069131013,104.97152865458746,1.1612910693687497,1.0715028904848334,0.007717332006800248,0.007717332006800248,Risk On,False,False,False,False,,,,Neutral,False,False,False,False,,,,Neutral,False,False,False,False,,,,Neutral,False,False,False,False
1999-01-29,14.051698684692385,11.3779878616333,79.13941955566406,117.9912676554184,102.27880028797588,105.77421440969654,1.15362389198155,1.0788295376859187,0.0073266472010853345,0.0073266472010853345,Risk On,False,False,False,False,,,,Neutral,False,False,False,False,,,,Neutral,False,False,False,False,,,,Neutral,False,False,False,False
1999-02-01,14.063307762145996,11.18413543701172,78.67448425292969,118.08874837969228,100.53622561973708,105.1528026445588,1.1745890364568183,1.0869284563715533,0.008098918685634615,0.008098918685634615,Risk On,False,False,False,False,,,,Neutral,False,False,False,False,,,,Neutral,False,False,False,False,,,,Neutral,False,False,False,False
1999-02-02,13.825247764587402,11.064841270446776,78.19013214111328,116.08977291627843,99.46386868053176,104.50543923940994,1.1671552138108308,1.0940737319680063,0.007145275596452949,0.007145275596452949,Risk On,False,False,False,False,,,,Neutral,False,False,False,False,,,,Neutral,False,False,False,False,,,,Neutral,False,False,False,False
1999-02-03,13.92395305633545,11.146849632263184,78.98443603515625,116.91859530700744,100.20105674595834,105.5670703565786,1.1668399426508385,1.1003794974104104,0.006305765442404132,0.006305765442404132,Risk On,False,False,False,False,,,,Neutral,False,False,False,False,,,,Neutral,False,False,False,False,,,,Neutral,False,False,False,False
1999-02-04,13.44782829284668,10.885892868041992,77.80265808105469,112.92060434045077,97.85526897608597,103.98755871239894,1.153955280303266,1.1061498044295432,0.0057703070191328365,0.0057703070191328365,Risk On,False,False,False,False,,,,Neutral,False,False,False,False,,,,Neutral,False,False,False,False,,,,Neutral,False,False,False,False
1999-02-05,13.12265968322754,10.796414375305176,76.91153717041016,110.19018310728636,97.05093054648034,102.79652629395692,1.1353851270340296,1.1119379341063511,0.005788129676807863,0.005788129676807863,Risk On,False,False,False,False,,,,Neutral,False,False,False,False,,,,Neutral,False,False,False,False,,,,Neutral,False,False,False,False
1999-02-08,13.343306541442873,10.766597747802734,77.06649017333984,112.0429414882623,96.78290346412896,103.00362955864264,1.1576728686362383,1.1189547745479729,0.007016840441621763,0.007016840441621763,Risk On,False,False,False,False,,,,Neutral,False,False,False,False,,,,Neutral,False,False,False,False,,,,Neutral,False,False,False,False
1999-02-09,12.820731163024902,10.61746883392334,75.3422622680664,107.6549075054232,95.44235656028968,100.69910353144206,1.1279573491819537,1.123200215690021,0.0042454411420480564,0.0042454411420480564,Risk On,False,False,False,False,,,,Neutral,False,False,False,False,,,,Neutral,False,False,False,False,,,,Neutral,False,False,False,False
1999-02-10,12.91362762451172,10.70694637298584,75.82656860351562,108.43495349825912,96.24668641714358,101.34640575394256,1.1266357059638423,1.1273298682230817,0.004129652533060746,0.004129652533060746,Risk On,False,False,False,False,,,,Neutral,False,False,False,False,,,,Neutral,False,False,False,False,,,,Neutral,False,False,False,False
