date,signal,ratio,ma20,slope,state
2025-09-10,Risk On,2.397757951082359,2.3380330618377356,-0.0007273018602296233,Risk On
2025-11-13,Risk Off,2.547210731279185,2.6241622238861853,-0.0020558093554505774,Risk Off
2025-12-09,Risk On,2.6163870555248288,2.5572731649519698,-0.0005389116742180455,Risk On
2025-12-12,Risk Off,2.4626611288765083,2.551400789810609,-0.004227480120134075,Risk Off
2026-01-13,Risk On,2.538794227589283,2.4635508049366384,0.003806654935638587,Risk On
2026-02-04,Risk Off,2.405877294824459,2.5227737962930634,-0.0019034618634989897,Risk Off
2026-02-24,Risk On,2.5870723387807253,2.5248821131173744,0.0008169646550628684,Risk On
2026-03-26,Risk Off,2.529173386812366,2.5984464908245575,0.00023249813290382448,Risk Off
2026-04-14,Risk On,2.6750094204018486,2.5893393718641713,0.001456898556330799,Risk On
2026-06-05,Risk Off,3.2277194390215675,3.3237260856548465,0.00728714432939892,Risk Off
