date,electronics_index,finance_index,weighted_index,ratio,ma20,slope20,ma20_slope,state20,bull_turn20,bear_turn20,cross_on20,cross_off20,ma60,slope60,ma60_slope,state60,bull_turn60,bear_turn60,cross_on60,cross_off60,ma120,slope120,ma120_slope,state120,bull_turn120,bear_turn120,cross_on120,cross_off120,ma240,slope240,ma240_slope,state240,bull_turn240,bear_turn240,cross_on240,cross_off240
2014-02-18,315.23,1027.77,8556.23,0.3067125913385291,0.3028946641100024,0.0005874624674916396,0.0005874624674916396,Risk On,False,False,False,False,0.29606334135896556,0.00019967014844446407,0.00019967014844446407,Risk On,False,False,False,False,0.29890031610853623,3.0249372265533925e-05,3.0249372265533925e-05,Risk On,False,False,False,False,0.3092962570933571,-5.364458271028827e-05,-5.364458271028827e-05,Risk Off,False,False,False,False
2014-02-19,316.29,1028.95,8577.01,0.3073910296904611,0.30341571911217124,0.0005210550021688687,0.0005210550021688687,Risk On,False,False,False,False,0.29632680141110246,0.00026346005213689905,0.00026346005213689905,Risk On,False,False,False,False,0.29891577582352996,1.5459714993726337e-05,1.5459714993726337e-05,Risk On,False,False,False,False,0.309244007845105,-5.2249248252145275e-05,-5.2249248252145275e-05,Risk Off,False,False,False,False
2014-02-20,314.25,1021.66,8524.62,0.3075876514691776,0.3037799440655683,0.0003642249533970521,0.0003642249533970521,Risk On,False,False,False,False,0.29656230769843567,0.00023550628733320922,0.00023550628733320922,Risk On,False,False,False,False,0.2989151234646324,-6.52358897568206e-07,-6.52358897568206e-07,Risk On,False,False,False,False,0.3091943573278087,-4.9650517296273566e-05,-4.9650517296273566e-05,Risk Off,False,False,False,False
2014-02-21,317.16,1031.71,8601.86,0.3074119665409853,0.30409812245868106,0.00031817839311276686,0.00031817839311276686,Risk On,False,False,False,False,0.29683255420617843,0.00027024650774276626,0.00027024650774276626,Risk On,False,False,False,False,0.29890602765860963,-9.095806022763053e-06,-9.095806022763053e-06,Risk On,False,False,False,False,0.3091375221839071,-5.683514390159017e-05,-5.683514390159017e-05,Risk Off,False,False,False,False
2014-02-24,316.17,1014.28,8560.61,0.3117186575699018,0.3046084930521956,0.000510370593514553,0.000510370593514553,Risk On,False,False,False,False,0.2971834709419569,0.0003509167357784726,0.0003509167357784726,Risk On,False,False,False,False,0.298943160721121,3.7133062511351955e-05,3.7133062511351955e-05,Risk On,False,False,False,False,0.3091069083395095,-3.061384439762005e-05,-3.061384439762005e-05,Risk Off,False,False,False,False
2014-02-25,317.18,1011.71,8575.62,0.313508811813662,0.3051902331409799,0.0005817400887843105,0.0005817400887843105,Risk On,False,False,False,False,0.29761335631539704,0.0004298853734401309,0.0004298853734401309,Risk On,False,False,False,False,0.29898460657449305,4.144585337206852e-05,4.144585337206852e-05,Risk On,False,False,False,False,0.30908296441082383,-2.3943928685654647e-05,-2.3943928685654647e-05,Risk Off,False,False,False,False
2014-02-26,318.58,1010.45,8600.86,0.3152852689395813,0.30596469794559766,0.000774464804617736,0.000774464804617736,Risk On,False,False,False,False,0.29810740195225643,0.0004940456368593971,0.0004940456368593971,Risk On,False,False,False,False,0.2990319097859588,4.730321146573235e-05,4.730321146573235e-05,Risk On,False,False,False,False,0.30908884582944035,5.881418616515699e-06,5.881418616515699e-06,Risk On,True,False,True,False
2014-02-27,320.03,1013.84,8639.58,0.3156612483232068,0.306744049751315,0.0007793518057173099,0.0007793518057173099,Risk On,False,False,False,False,0.2985274508097965,0.0004200488575400452,0.0004200488575400452,Risk On,False,False,False,False,0.29908809707397915,5.618728802037065e-05,5.618728802037065e-05,Risk On,False,False,False,False,0.309119797192084,3.0951362643638625e-05,3.0951362643638625e-05,Risk On,False,False,False,False
2014-03-03,319.26,1002.92,8601.98,0.3183304750129621,0.3075926516145303,0.0008486018632153369,0.0008486018632153369,Risk On,False,False,False,False,0.29897393348614076,0.0004464826763442842,0.0004464826763442842,Risk On,False,False,False,False,0.2991520702255333,6.397315155415306e-05,6.397315155415306e-05,Risk On,False,False,False,False,0.3091712699666383,5.147277455430643e-05,5.147277455430643e-05,Risk On,False,False,False,False
2014-03-04,317.49,995.63,8554.54,0.3188835209867119,0.3084554087999921,0.0008627571854618044,0.0008627571854618044,Risk On,False,False,False,False,0.2994255277453752,0.0004515942592344113,0.0004515942592344113,Risk On,False,False,False,False,0.29924221950113417,9.014927560085928e-05,9.014927560085928e-05,Risk On,False,False,False,False,0.3091972108597417,2.594089310342662e-05,2.594089310342662e-05,Risk On,False,False,False,False
2014-03-05,321.78,998.61,8632.93,0.3222278967765193,0.3094926613206642,0.001037252520672105,0.001037252520672105,Risk On,False,False,False,False,0.29990547650942406,0.00047994876404888753,0.00047994876404888753,Risk On,False,False,False,False,0.29938392518084356,0.00014170567970939185,0.00014170567970939185,Risk On,False,False,False,False,0.3092379024702029,4.069161046116321e-05,4.069161046116321e-05,Risk On,False,False,False,False
2014-03-06,326.29,1008.55,8713.79,0.3235238709037727,0.31058413624376896,0.0010914749231047405,0.0010914749231047405,Risk On,False,False,False,False,0.3004033378424317,0.0004978613330076098,0.0004978613330076098,Risk On,False,False,False,False,0.2995180792325848,0.00013415405174121986,0.00013415405174121986,Risk On,False,False,False,False,0.30928555624962595,4.765377942306248e-05,4.765377942306248e-05,Risk On,False,False,False,False
2014-03-07,326.76,1012.4,8713.96,0.3227578032398261,0.3115434371610232,0.0009593009172542133,0.0009593009172542133,Risk On,False,False,False,False,0.3008781726311397,0.00047483478870802287,0.00047483478870802287,Risk On,False,False,False,False,0.2996401474336852,0.0001220682011004448,0.0001220682011004448,Risk On,False,False,False,False,0.30932405859071144,3.8502341085489e-05,3.8502341085489e-05,Risk On,False,False,False,False
2014-03-10,324.77,1002.44,8665.24,0.3239794900442919,0.3125245041688029,0.0009810670077797234,0.0009810670077797234,Risk On,False,False,False,False,0.30138369743915183,0.0005055248080121366,0.0005055248080121366,Risk On,False,False,False,False,0.29976060732541615,0.00012045989173092853,0.00012045989173092853,Risk On,False,False,False,False,0.3093552405057384,3.118191502698986e-05,3.118191502698986e-05,Risk On,False,False,False,False
2014-03-11,327.18,997.96,8702.33,0.3278488115756142,0.3137155738804904,0.0011910697116874758,0.0011910697116874758,Risk On,False,False,False,False,0.30196129775927216,0.0005776003201203306,0.0005776003201203306,Risk On,False,False,False,False,0.2999022926337568,0.0001416853083406333,0.0001416853083406333,Risk On,False,False,False,False,0.3094054121089365,5.017160319809033e-05,5.017160319809033e-05,Risk On,False,False,False,False
2014-03-12,326.39,999.51,8684.73,0.3265500095046573,0.3148257903319962,0.00111021645150583,0.00111021645150583,Risk On,False,False,False,False,0.30247728909413435,0.000515991334862187,0.000515991334862187,Risk On,False,False,False,False,0.30005523388311095,0.00015294124935416598,0.00015294124935416598,Risk On,False,False,False,False,0.3094642445836219,5.883247468535524e-05,5.883247468535524e-05,Risk On,False,False,False,False
2014-03-13,331.1,999.38,8747.79,0.3313054093537994,0.31610212799722875,0.001276337665232552,0.001276337665232552,Risk On,False,False,False,False,0.3030811173026728,0.0006038282085384372,0.0006038282085384372,Risk On,False,False,False,False,0.30027152947866825,0.00021629559555730316,0.00021629559555730316,Risk On,False,False,False,False,0.3095419819289126,7.773734529070708e-05,7.773734529070708e-05,Risk On,False,False,False,False
2014-03-14,328.86,993.07,8687.63,0.3311549034811242,0.31732010559200585,0.0012179775947770977,0.0012179775947770977,Risk On,False,False,False,False,0.30369918852773664,0.0006180712250638543,0.0006180712250638543,Risk On,False,False,False,False,0.30048621207691784,0.00021468259824958258,0.00021468259824958258,Risk On,False,False,False,False,0.30961265856833936,7.067663942678104e-05,7.067663942678104e-05,Risk On,False,False,False,False
2014-03-17,329.24,992.86,8700.1,0.3316076788268235,0.31857537731609054,0.0012552717240846833,0.0012552717240846833,Risk On,False,False,False,False,0.30436346372768364,0.0006642751999469954,0.0006642751999469954,Risk On,False,False,False,False,0.3007000904124325,0.00021387833551467228,0.00021387833551467228,Risk On,False,False,False,False,0.309691557841152,7.889927281262699e-05,7.889927281262699e-05,Risk On,False,False,False,False
2014-03-18,329.93,1000.2,8731.94,0.3298640271945611,0.31966555612930847,0.0010901788132179346,0.0010901788132179346,Risk On,False,False,False,False,0.30497998327437065,0.000616519546687011,0.000616519546687011,Risk On,False,False,False,False,0.300888424431832,0.00018833401939949423,0.00018833401939949423,Risk On,False,False,False,False,0.3097559515044338,6.439366328181428e-05,6.439366328181428e-05,Risk On,False,False,False,False
2014-03-19,328.14,992.72,8689.46,0.3305463776291401,0.320857245443839,0.0011916893145305085,0.0011916893145305085,Risk On,False,False,False,False,0.3056372989022659,0.0006573156278952275,0.0006573156278952275,Risk On,False,False,False,False,0.30109115447010576,0.00020273003827375735,0.00020273003827375735,Risk On,False,False,False,False,0.309830347084768,7.439558033417448e-05,7.439558033417448e-05,Risk On,False,False,False,False
2014-03-20,324.11,979.34,8597.33,0.3309473727204035,0.32203506259533615,0.0011778171514971736,0.0011778171514971736,Risk On,False,False,False,False,0.30630044592112166,0.0006631470188557809,0.0006631470188557809,Risk On,False,False,False,False,0.3013060542224976,0.00021489975239186165,0.00021489975239186165,Risk On,False,False,False,False,0.30990305662740514,7.270954263716156e-05,7.270954263716156e-05,Risk On,False,False,False,False
2014-03-21,323.91,978.02,8577.17,0.3311895462260485,0.3232151573331796,0.0011800947378434734,0.0011800947378434734,Risk On,False,False,False,False,0.30692450188322923,0.0006240559621075725,0.0006240559621075725,Risk On,False,False,False,False,0.30152734526737635,0.0002212910448787242,0.0002212910448787242,Risk On,False,False,False,False,0.3099719725052659,6.891587786078679e-05,6.891587786078679e-05,Risk On,False,False,False,False
2014-03-24,324.92,979.59,8605.38,0.3316897885850203,0.32442904843538145,0.001213891102201825,0.001213891102201825,Risk On,False,False,False,False,0.30758420908547085,0.0006597072022416217,0.0006597072022416217,Risk On,False,False,False,False,0.3017417753299183,0.0002144300625419593,0.0002144300625419593,Risk On,False,False,False,False,0.31003207456649096,6.010206122503137e-05,6.010206122503137e-05,Risk On,False,False,False,False
2014-03-25,328.14,984.97,8689.3,0.3331472024528665,0.32550047567952967,0.0010714272441482153,0.0010714272441482153,Risk On,False,False,False,False,0.3082653472890366,0.0006811382035657454,0.0006811382035657454,Risk On,False,False,False,False,0.30198537363252764,0.000243598302609338,0.000243598302609338,Risk On,False,False,False,False,0.3100845674075147,5.2492841023765724e-05,5.2492841023765724e-05,Risk On,False,False,False,False
2014-03-26,331.42,987.7,8737.27,0.335547230940569,0.326602396635875,0.0011019209563453147,0.0011019209563453147,Risk On,False,False,False,False,0.3089706026717954,0.0007052553827587849,0.0007052553827587849,Risk On,False,False,False,False,0.30224486607285644,0.00025949244032880125,0.00025949244032880125,Risk On,False,False,False,False,0.31015664615681643,7.207874930170721e-05,7.207874930170721e-05,Risk On,False,False,False,False
2014-03-27,332.25,989.67,8779.57,0.3357179665949256,0.3276240315186422,0.0010216348827672417,0.0010216348827672417,Risk On,False,False,False,False,0.3096831660113412,0.0007125633395458353,0.0007125633395458353,Risk On,False,False,False,False,0.302510481837977,0.00026561576512057483,0.00026561576512057483,Risk On,False,False,False,False,0.310221743997926,6.509784110958483e-05,6.509784110958483e-05,Risk On,False,False,False,False
2014-03-28,332.21,994.27,8774.64,0.3341245335773984,0.32854719578135183,0.0009231642627096082,0.0009231642627096082,Risk On,False,False,False,False,0.3103712667402863,0.0006881007289450958,0.0006881007289450958,Risk On,False,False,False,False,0.3027514356708381,0.0002409538328611016,0.0002409538328611016,Risk On,False,False,False,False,0.31028572264985704,6.397865193102925e-05,6.397865193102925e-05,Risk On,False,False,False,False
2014-03-31,335.33,996.17,8849.28,0.3366192517341417,0.32946163461741074,0.0009144388360589062,0.0009144388360589062,Risk On,False,False,False,False,0.3111052110953414,0.0007339443550550828,0.0007339443550550828,Risk On,False,False,False,False,0.3030149885563899,0.0002635528855517988,0.0002635528855517988,Risk On,False,False,False,False,0.3103634514213648,7.772877150774571e-05,7.772877150774571e-05,Risk On,False,False,False,False
2014-04-01,337.23,996.13,8873.15,0.3385401503819782,0.33044446608717404,0.0009828314697633012,0.0009828314697633012,Risk On,False,False,False,False,0.31185221760144965,0.0007470065061082609,0.0007470065061082609,Risk On,False,False,False,False,0.3032815983583014,0.0002666098019114549,0.0002666098019114549,Risk On,False,False,False,False,0.31043418104248044,7.072962111565051e-05,7.072962111565051e-05,Risk On,False,False,False,False
2014-04-02,339.45,995.43,8905.45,0.3410084084265091,0.33138349166967357,0.0009390255824995308,0.0009390255824995308,Risk On,False,False,False,False,0.3126303101095357,0.0007780925080860257,0.0007780925080860257,Risk On,False,False,False,False,0.3035943014295628,0.00031270307126141095,0.00031270307126141095,Risk On,False,False,False,False,0.31052194546795864,8.77644254781984e-05,8.77644254781984e-05,Risk On,False,False,False,False
2014-04-03,337.46,996.26,8888.54,0.3387268383755244,0.33214364004326113,0.0007601483735875658,0.0007601483735875658,Risk On,False,False,False,False,0.3134007124168365,0.0007704023073007993,0.0007704023073007993,Risk On,False,False,False,False,0.30389541946154314,0.0003011180319803519,0.0003011180319803519,Risk On,False,False,False,False,0.31059817125363015,7.622578567151317e-05,7.622578567151317e-05,Risk On,False,False,False,False
2014-04-07,337.03,994.43,8876.44,0.3389177719899842,0.33295163848076903,0.0008079984375078952,0.0008079984375078952,Risk On,False,False,False,False,0.3141679986711422,0.0007672862543057213,0.0007672862543057213,Risk On,False,False,False,False,0.30423476706498376,0.00033934760344062065,0.00033934760344062065,Risk On,False,False,False,False,0.31066791225065293,6.974099702278247e-05,6.974099702278247e-05,Risk On,False,False,False,False
2014-04-08,338.14,995.93,8888.25,0.3395218539455584,0.33372875667583235,0.0007771181950633199,0.0007771181950633199,Risk On,False,False,False,False,0.3149698956784425,0.0008018970073003229,0.0008018970073003229,Risk On,False,False,False,False,0.30459974598642964,0.00036497892144587984,0.00036497892144587984,Risk On,False,False,False,False,0.3107212529814442,5.334073079127366e-05,5.334073079127366e-05,Risk On,False,False,False,False
2014-04-09,340.17,998.69,8930.57,0.3406162072314732,0.3343671264586253,0.0006383697827929691,0.0006383697827929691,Risk On,False,False,False,False,0.31577109477739607,0.0008011990989535422,0.0008011990989535422,Risk On,False,False,False,False,0.3049949471501336,0.000395201163703951,0.000395201163703951,Risk On,False,False,False,False,0.3107818805141058,6.06275326616168e-05,6.06275326616168e-05,Risk On,False,False,False,False
2014-04-10,340.48,1006.86,8948.1,0.3381602208847307,0.334947637027629,0.000580510569003656,0.000580510569003656,Risk On,False,False,False,False,0.316510815202593,0.0007397204251969325,0.0007397204251969325,Risk On,False,False,False,False,0.3053687821684205,0.00037383501828691656,0.00037383501828691656,Risk On,False,False,False,False,0.3108239303081376,4.2049794031773224e-05,4.2049794031773224e-05,Risk On,False,False,False,False
2014-04-11,338.8,1005.07,8908.05,0.3370909488891321,0.33523691400439565,0.0002892769767666725,0.0002892769767666725,Risk On,False,False,False,False,0.31724920841204796,0.0007383932094549572,0.0007383932094549572,Risk On,False,False,False,False,0.3057642450138827,0.00039546284546221333,0.00039546284546221333,Risk On,False,False,False,False,0.31086603040274413,4.210009460653419e-05,4.210009460653419e-05,Risk On,False,False,False,False
2014-04-14,336.53,1001.18,8857.42,0.3361333626320941,0.3354858369619441,0.0002489229575484697,0.0002489229575484697,Risk On,False,False,False,False,0.31792881657584054,0.0006796081637925888,0.0006796081637925888,Risk On,False,False,False,False,0.3061309609443135,0.0003667159304308054,0.0003667159304308054,Risk On,False,False,False,False,0.3109119029223111,4.587251956694738e-05,4.587251956694738e-05,Risk On,False,False,False,False
2014-04-15,339.9,998.0,8916.71,0.3405811623246493,0.3359345111368354,0.0004486741748913059,0.0004486741748913059,Risk On,False,False,False,False,0.31871898147119887,0.0007901648953583251,0.0007901648953583251,Risk On,False,False,False,False,0.3065424468985609,0.00041148595424739254,0.00041148595424739254,Risk On,False,False,False,False,0.31097550643697164,6.360351466055958e-05,6.360351466055958e-05,Risk On,False,False,False,False
2014-04-16,340.02,996.06,8923.82,0.3413649780133727,0.33650955867777604,0.0005750475409406208,0.0005750475409406208,Risk On,False,False,False,False,0.3194941054831984,0.0007751240119995284,0.0007751240119995284,Risk On,False,False,False,False,0.30694290301767185,0.0004004561191109368,0.0004004561191109368,Risk On,False,False,False,False,0.31103622396017344,6.0717523201803125e-05,6.0717523201803125e-05,Risk On,False,False,False,False
2014-04-17,340.92,998.84,8944.16,0.3413159264747106,0.3370480361200545,0.0005384774422784733,0.0005384774422784733,Risk On,False,False,False,False,0.3202666485579653,0.0007725430747669293,0.0007725430747669293,Risk On,False,False,False,False,0.3073055306941127,0.00036262767644085203,0.00036262767644085203,Risk On,False,False,False,False,0.31109018804115846,5.396408098501393e-05,5.396408098501393e-05,Risk On,False,False,False,False
2014-04-18,342.87,998.5,8966.66,0.3433850776164246,0.3376699213648556,0.000621885244801057,0.000621885244801057,Risk On,False,False,False,False,0.32104023435745427,0.0007735857994889406,0.0007735857994889406,Risk On,False,False,False,False,0.3076941906488412,0.00038865995472847636,0.00038865995472847636,Risk On,False,False,False,False,0.31114761373251704,5.742569135858133e-05,5.742569135858133e-05,Risk On,False,False,False,False
